,message
21313,"uska re mid hai
"
21314,"Aaj remid h aec ka🙂
"
21315,"Acha..ok
"
21316,"Mere mei bhi show karra
"
21317,"Why
"
21318,"Sabme krega bro
"
21319,"Acha..🙃
"
21320,"null
"
21321,"jaanta hu
"
21322,"Kon h?🌚
"
21323,"🙃tompar
"
21324,"Oooo🥲🥲
"
21325,"Puchna is se
"
21326,"Pucho Numerical kar lenge
"
21327,"Isi baat pe physics class cancle karwa do na bhai
"
21328,"Meet me kaise puchu?🙂
"
21329,"dusra meet
"
21330,"Bhai jab class hoga mera exam start ho jayega
"
21331,"mask pehen
"
21332,"To abhi hi bol de na sir ko
Humlog ka bhi bhala ho jayega👉👈
"
21333,"Hai?
"
21334,"ya
"
21335,"Bhai 4 baje class h mera 4 baje exam?
"
21336,"Bhejo
"
21337,"split screen aata hai?
"
21338,"Laptop me nhiii🥲
"
21339,"oh
"
21340,"This message was deleted
"
21341,
21342,"<Media omitted>
"
21343,"exam chl raha he kya tumhara?
"
21344,"Haaa bhai batao
"
21345,"knsa🙃
"
21346,"<Media omitted>
"
21347,"Aex
"
21348,"C*
"
21349,"B
"
21350,"<Media omitted>
"
21351,"C
"
21352,".
"
21353,".
"
21354,"@918210037427 🙂
"
21355,"Tu hai🙂
"
21356,"Thanks bhai🫂
"
21357,"Haaa main hu
"
21358,"Tu BC hai maan bhi rha hai woww🙂
"
21359,"Jhal mudi bana re Kya sir ?
"
21360,"Saath m beer bhi h
"
21361,"Pucho sirse 🙂
"
21362,"Kheni🙂
"
21363,"Sunday ko viva hoga Kya ?
"
21364,"kal 12 baje
"
21365,"Kayka
"
21366,"kis subject ka?
"
21367,"Physica lab
"
21368,"Physics
"
21369,"😭😭
"
21370,"Monday ko hon tha na
"
21371,"Ye ek do saval mtlb
"
21372,"Viva hai ya sirf join karna hai
"
21373,"Wahi 🙃
"
21374,"Sir jis treke se bole the wahi trika na ...🌝🌝
"
21375,"Sir khud bole ki Viva ka formality hoga ...to chinta mat Karo guys ..sabko number milega ..lekin 0 kisiko nhi milega
"
21376,"Except jo kl absent rhefa
"
21377,"Arre sir question to nahi puchenge?
"
21378,"timing kya hai?
"
21379,"12
"
21380,"Puchenge halka fulka
"
21381,"12
"
21382,"12 an
"
21383,"Am*
"
21384,"Arre bhai pehle to maana kiya tha ye sab maat bolo
"
21385,"It's pm🙂
"
21386,"🫠
"
21387,"Sb Maja khrp krde
"
21388,"🥲
"
21389,"🥶
"
21390,"Arre pehle to maana kiya tha na question nahi puchenge ab kya hua🙂
"
21391,"Disney land m MTT rha karo tm
"
21392,"😂😂
"
21393,"Bhai ab mein to khush tha ki question nahi puchenge ye sab galat baat hota hai🥺
"
21394,"Welcome to KIIT
"
21395,"Yeh doc file upload kyun nahi ho raha hai ???kisiko pata hai kya ??
"
21396,"Sab ho rha bro,Maine bhi Kiya ..
"
21397,"Phone se kr hojayega
"
21398,"<Media omitted>
"
21399,"Likh raha file format not supported:(
"
21400,"😭😭😭sahi me salla
"
21401,"hey
"
21402,"Jude
"
21403,"Dekhta hoon
"
21404,"jodddddd
"
21405,"Anyone looking for Bee activity group?
We have spot left for 4th member
"
21406,"Avi aec class hai?
"
21407,"Subah ho chuka bhoii
"
21408,"Accha toh ab nhi hoga
"
21409,"<Media omitted>
"
21410,"Nhi vroo
"
21411,"So jao
"
21412,"KY
"
21413,"Nhi mat so ..7 baje se quiz hai
"
21414,"😭😭
"
21415,"https://meet.google.com/iam-houa-qko?pli=1&authuser=1
"
21416,"@918639102642 sunn alag Id se test dedio aur agar answer mile to bataio
"
21417,"bee aur yoga test jesa google forms nahi hai🥲
"
21418,"Bhai Gclassroom pe aayega?
"
21419,"Hn
"
21420,"Ok samjha
"
21421,"agaya
"
21422,"Quiz ka link kaha hai
"
21423,"classroom
"
21424,"7 30 start hoga na??
"
21425,"https://docs.google.com/forms/d/e/1FAIpQLSciUm6-nHIecwpzLTeGig1yBk_LVQwfPRX-tOTHHIWVXtx4Ig/closedform
"
21426,"abhi bhaii
"
21427,"abhi kya okok
"
21428,"Link khul raha?
"
21429,"nope
"
21430,"Nhi
"
21431,"<Media omitted>
"
21432,"<Media omitted>
"
21433,"Guys section kya hai?
"
21434,"VB 20\
"
21435,"VB 20
"
21436,"<Media omitted>
"
21437,"Match ho rha h?
"
21438,"pata nahi dusre class ke whatsapp grp pe tha
"
21439,"Acha acha
"
21440,"Koi answer send kr do jitna ho gya h
"
21441,"<Media omitted>
"
21442,"<Media omitted>
"
21443,"<Media omitted>
"
21444,"<Media omitted>
"
21445,"<Media omitted>
"
21446,"<Media omitted>
"
21447,"<Media omitted>
"
21448,"<Media omitted>
"
21449,"<Media omitted>
"
21450,"<Media omitted>
"
21451,"<Media omitted>
"
21452,"<Media omitted>
"
21453,"<Media omitted>
"
21454,"<Media omitted>
"
21455,"<Media omitted>
"
21456,"<Media omitted>
"
21457,"<Media omitted>
"
21458,"<Media omitted>
"
21459,"Mark as done me click karna hai?
"
21460,"🙇🏻‍♂️
"
21461,"<Media omitted>
"
21462,"same nahi hamara toh 2 nahi hoga
"
21463,"Kitna speed mein bolti hai yrr ye
"
21464,"Lagta hai sabka maar faar ke bol degi
"
21465,"Bahut jyada🙂
"
21466,"Whi
"
21467,"Main earphone nikal diya
"
21468,"Same bro 🙂
"
21469,"Mai leave hi kr di😊
"
21470,"🗿
"
21471,"Bhai koi bolna maat ki viva nahi ho raha🙂
"
21472,"😂😂😂😂
"
21473,"Bahut bolti hai ..ekdum speed mein jaise kya jaldi hai khtm karne ke liye
"
21474,"Samajh nhi aaya ye line
"
21475,"Dm personally for brief explanation 😂
"
21476,"😂😂😂
"
21477,"EVS sabne likh liya kya?! And kitne pages ka likh rahe?!
"
21478,"20
"
21479,"12
"
21480,"nhi likhe hai likhna hai lekin
"
21481,"9
"
21482,"18🥲🥲
"
21483,"Bhai odia word bola aur meeting end @918210037427
"
21484,"15
"
21485,"10
"
21486,"Magya🤣🤣🤣
"
21487,"15
"
21488,"18🥲
"
21489,"Bola aur meeting end😂
"
21490,"@919102485981 Konaccha nahi laga😅
"
21491,"Mast tha🤣🤣
"
21492,"Minimum is 10 ig
"
21493,"aisi baat nahi hai bro😁
"
21494,"Pakka🥺
"
21495,"Hnn main tou khud 11 likh ke submit Mari hu
"
21496,"🙂
"
21497,"Maine word file me 11 or pdf me 16 🥲handwritten I mean
"
21498,"Suno
"
21499,"EVS ki date badhvayen kya?!
"
21500,"Monday karva den bas......Sunday kal mil jaye pura!
"
21501,"Karwa sakte ho kya bhai🙂🙂
"
21502,"Main text kedunga sab support karna....spam mat karna....
"
21503,"Ok bhay🙂🙂
"
21504,"Tumko lagta hai ..manega woh
"
21505,"Bhery bhery bhig problem
"
21506,"🪃 boomerang 🙂
"
21507,"Kal physics kitne baje hai
"
21508,"12
"
21509,"viva??
"
21510,"ya class??
"
21511,"<Media omitted>
"
21512,"Sabke 10 aaye
"
21513,"🥲
"
21514,"?
"
21515,"Ha 🙂
"
21516,"9 aye
"
21517,"10 aaye✨
"
21518,"Woh f(x) 2 dikha raha hai 🥲🥲
"
21519,"Tum log ne kuch change Kiya kya baad mein?!
"
21520,"Haan wo maine nahi kiya change......pehle hi submit kar diya tha😂
"
21521,"Woh q8 Maa chod di
"
21522,"Lucky bro 😂😂
"
21523,"Kaun bola tha 4 hoga peeto usko.....😂
"
21524,"Dhundo usko 🙂
"
21525,"Wohi wohi wohi aur kon🥹
"
21526,"Jo ham sab samj rhe h ...kya wahi 🌝
"
21527,"Bhai mene to 2 hi bola tha🥺
"
21528,"Ye wohi kaun hai
"
21529,"Par sabne 4 kardiya🥲
"
21530,"Wahi.....chillne wali?! Naam nhi yaad aa raha
"
21531,"Tumhara baat man lena chaiye tha bro... 🫂
"
21532,"👀👀
"
21533,"*chillane
"
21534,"😂😂😂
"
21535,"🫂
"
21536,"Ji
"
21537,"Wohi wohi
"
21538,"Kon wahi ladki ladki 🌝
"
21539,"Ab itta clear mt bol hack hojayega acnt
"
21540,"Han han wahi 🙂🥲
"
21541,"😬🫠
"
21542,"Next se not allowed .🥱
"
21543,"Woh ladki hacker bhi hai kya ab 🫠
"
21544,"aaj physics lab viva hai nah???
"
21545,"koi cancel karwaaa do please💔
"
21546,"😂😂
"
21547,"@918639102642 kuch karoo🙂
"
21548,"Link aya hai ?
"
21549,"12baje he
"
21550,"Ohh, meko lga 10 bheje hai
Sunday v krb hogya😖😓
"
21551,"Kaun kaun physics ko touch Tak nhi Kiya hai ?
"
21552,"<Media omitted>
"
21553,"meee
"
21554,"wahi soch rha hu kyaa bolu sir puchne se
"
21555,"sir kuch nhi pata bolu🥲
"
21556,"Asa bolega na to tera end sem ka paper bhi waise hi check karenge sir
"
21557,"Sir ko lagega kahin se copy Kiya hai
"
21558,"toh kyaa bolu kuch pata hi nahibhe
"
21559,"💔💔
"
21560,"🤧🤧🤧
"
21561,"Bhai Kya kare ..mein bhi to kuch nhi padha hoon
"
21562,"Sir agar puch diye ki Kya pta hai ..to Kya bolunga
"
21563,"Physics ka viva kab hai kitne baje
"
21564,"12 baje
"
21565,"Sir bole the na ki questions nahi puchega bas attendence de Dena?
"
21566,"Hmm
"
21567,"Kal lekin jab mai pucha ki 1:30 ghanta karenge kya🥲toh bole beech me subse 1-1 question puch lenge
"
21568,"Sabse 1 question bhi puche to bhi 2 ghanta lagega unko..he is very slow 🙃
"
21569,"Behhh yaarr. Phaltu ka sir ka zyada tareef kar diye the.
"
21570,"Daanta bhi rehta unko toh 2 ghanta se zyada bhi lag sakta.
"
21571,"Mai toh bol rha hu🙂hum log sir se question puch lenge
"
21572,"mujhe puchne se tumhe ans puchunga thik he🙂
"
21573,"batanaa
"
21574,"Tujhe puchne kon bola tha 😬😑
"
21575,"Uno reverse.😂
"
21576,"Ki vo kheni khana kyu shuru kiye🙂
"
21577,"Uske piche bhi sir ka koi kissa hoga  🙂🙂
"
21578,"Bolenge Hamlogo ko doubts h wahi clear kr dene ...usi me time waste kr wa denge🌝
"
21579,"Mujhe kuch nhi aata🙂
"
21580,"Areey bhai maine yahi bola we just have to join right and then at the end we have to give our attendance 🙂vo apne se bol diya meri kya galti
"
21581,"Vimal khane se daant kharab hote hai kya yeh bhi puchenge🙂
"
21582,"Wahi wahi🌝🌝
"
21583,"😒😬
"
21584,"Sab jo bhi dimag mein ayega sab puch lena bhai 1:30 waste karna hai toh aise sawaal hi puchne honge🙂🙂
"
21585,"I will take relationship advice from him🙂
"
21586,"Lelo bhai advice but pata nahi mujhe lagta hai ki woh relationship ke jagah servicing ka advice de denge😂😂
"
21587,"+1
"
21588,"Mai toh advice lunga khaali time nikalne k liye implementation kon karega 🙂
"
21589,"Pitaji ka number maang lenge aur servicing karenge 🫡
"
21590,"Gopal ka baat shayan sunenge sir ...kyunki woh padhta hai class mein
"
21591,"Sabaas bhai ekdum mast plan hai🙂🙂
"
21592,"Bhai fake no. De dena jisko bhi sir no. Mangenge🙂🙂
"
21593,"Jo pahle 10 digits dimag me aaye wo bol dena xd
"
21594,"11 baje hai ya 12 baje ?!
"
21595,"Phy?
"
21596,"12 baje se
"
21597,"👍🏻✌🏻
"
21598,"Kitni phat rhi hai sabki ..ki time hi bhul ja rhe hain
"
21599,"itne chilled hai sab ki kisiko time hi nahi malum
"
21600,"Kitna marks hai viva pe?
"
21601,"Viva me puchenge kya?🙂
"
21602,"10 marks nahi dega tab bhi chalega
"
21603,"+1
"
21604,"Bhai yahi to nahi pata aaj tak nahi padha phy lab😂
"
21605,"Wahi na dikkat h 🤣🤣🤣 chai lekar chalte h sir ke liye
"
21606,"Physics Lab Quiz jaisa puch liya toh khatam
"
21607,"Naam ghar pariwar biwi bache
"
21608,"Na phy aata h na phy lab 🥲
"
21609,"Servicing hua hai ki nehi puchenge shayad 🙂
"
21610,"3tak bata denge biwi dilwa do bache ho jayenge uske baad🙂
"
21611,"Ab nhiii hota bro🥲
"
21612,"To sir karwa denge 🙂
"
21613,"Ye karlo bhai tum😂
"
21614,"Btech karte karte tum baap ban jayega
"
21615,"Ye to galat baat h na🙂
"
21616,"Haaa bhai🤣
"
21617,"Koi ladki dekh ke rkhe ho mere liye?🌚
"
21618,"Sehe lenge Thora... Aur koi option bhi nahi hai 🙂
"
21619,"Kitna accha lagega na ...tera baby bhi saath mein college aayega
"
21620,"<Media omitted>
"
21621,"Haaa but servicing me ajib lagega na🥲
"
21622,"Bhai uske saath khelenge hum thik hai🥺
"
21623,"Haaa bhai kyuuuuu nhiii 15-20 saal yahin pade rhne ka plan h mera🙂
"
21624,"<Media omitted>
"
21625,"Pura paisa vasul karke niklega bhai 💯
"
21626,"College me bache lana allowed hai🙂
"
21627,"Paisa aur dena padega🥲🥲
"
21628,"Tumhare hai to leke ajao
"
21629,"Tum to leke aa rahe ho @918210037427 ko saath mein 🙂
"
21630,"Haa tab hi to tere ko main leke jaa rha hu🙂
"
21631,"EVS sir ke saath jur jao... Aur vasuli karo 🙂
"
21632,"Main uska bacha nhi hu wo mera bacha h🙂
"
21633,"koi ye batao phy ka viva hai ki phy lab ka?
"
21634,"Ghar nhi basana hai hostel me🙂
"
21635,"Haan yeh bhi🙂
"
21636,"Basa lo...
🙂
"
21637,"Mai tere ko leke aarha hu🙂
"
21638,"Haaa ye badiya idea h mast paisa kamayenge 🙂
"
21639,"Ok samajh gaya confusion tha clear ho gaya
"
21640,"Woh to evs sir karenge na ...ye thodi karega
"
21641,"Main toh kuch nahi padha 😶‍🌫️
"
21642,"Gajab bhai gajab 
🙂
"
21643,"bata to de bsdk😂
"
21644,"Sir ka right hand ban jao... Tagda commission denge
"
21645,"Main lekar aa rha hu tere ko🙂
"
21646,"Wahi wo mera beta h🙂
"
21647,"Bhai lab
"
21648,"Phy lab ka h be🤣🤣🤣
"
21649,"Samajh gaya 🫂
"
21650,"Jo tumko ata hai... Isika viva hai
"
21651,"Lekin question physics Se pucha jayega
"
21652,"Sabash 🫂
"
21653,"kuch nhi aata 😂
"
21654,"Agar kuch nahi aata toh 🤓
"
21655,"To servicing karwa lena 🙂
"
21656,"Servicing karwa lena 🙂
"
21657,"Dono nhi aata h🥲
"
21658,"Bhai ye koi baat thodi hai🙂
"
21659,"<Media omitted>
"
21660,"Bhai sab suno yaar sir se baat karenge meet ke start mein pls 🥺
"
21661,"Kya bolenge lekin sir ko
"
21662,"Aur sir .. dhanda pani sab bariya...
Servicing kaisa ho raha hai sir
"
21663,"Ye puch lena
"
21664,"🙂
"
21665,"Coffin dance song plays afterwards 🙂
"
21666,"🙂 mereko sunai de raha already 🙂
"
21667,"Baatein karte raho vro ...tension Kam hoga
"
21668,"Bhai daar laag raha hai😭
"
21669,"yahan group pe baaki log batana
"
21670,"Koi fayda nhi Bhai .. immediately jawab nhi diya to woh samajh jayega...kahin se mila hai ans
"
21671,"toh bhi bhej doge toh kya hojayega
"
21672,"we have to join from classroom link right?
"
21673,"bro but thora late dena is better than nhi dena

atleast 4/10 to mil jae
"
21674,"Thik hai bhejna lekin ek flash ka speed se
"
21675,"Link aya h kya? Phy ke liye
"
21676,"Noi
"
21677,"Bhai Sara device ka least count bhej do na ek baar
"
21678,"<Media omitted>
"
21679,"<Media omitted>
"
21680,"<Media omitted>
"
21681,"Thanks bhai
"
21682,"Abhi viva hoga?
"
21683,"MASS BUNK 🙂
"
21684,"Are sach bolo bhai
"
21685,"Hoga 🙂
"
21686,"Nhi Bhai bunk mat karna yaar
"
21687,"Link toh aaye pehle
"
21688,"Gc Wala link se join nhi karna ?
"
21689,"🙃 sir bole they na kal classroom link se join karna
"
21690,"Oki🥲
"
21691,"<Media omitted>
"
21692,"<Media omitted>
"
21693,"*HOW'S THE JOSH! 🥲
"
21694,"Khatam ho giya
"
21695,"😭😭😭
"
21696,"Link nahi aaya hai na?!
"
21697,"Classroom se join krna hai
"
21698,"classroom se join karp
"
21699,"kaash sir bhuljatee 😢
"
21700,"https://meet.google.com/dbf-ahpb-ncg
"
21701,"Sir aa gye
"
21702,"https://youtu.be/zSioX0v5iPQ
"
21703,"🥲🥲🥲
"
21704,"lab mw alag sir rahenge na throry wale hi??
"
21705,"theory ka classroom kaha hai🙂
"
21706,"Areey mori maiya 😭😭😭
"
21707,"Dhadkan badh rhi hai😭
"
21708,"Theory wale hi
"
21709,"theory ka toh nahi he  pta he
"
21710,"ignore 🙃
"
21711,"apan log kuch nahi krskte aab🥲
"
21712,"Mana karo leneko
"
21713,"🙏
"
21714,"<Media omitted>
"
21715,"https://youtu.be/a18py61_F_w
"
21716,"Sale exam wale din exam lene se Mana karne ke liye bol RHe ho
"
21717,"Sir khel gaye
"
21718,"Becoz that is in his hand 😑
"
21719,"ROLL NUMBERS 1315 TO 1398. JOIN AT 1 PM
"
21720,"Koi aur din lene bolo. Aj Sunday ko nhi
"
21721,"Bhai Mera help Kar Dena plse shuru mein hi roll no hai mera
"
21722,"Sir bol rahe hai 315 to 398 vale join at 1 pm
"
21723,"Hamlog roll likh ke chle jate h
"
21724,"🌝
"
21725,"🙂 ji lo kuch pal
"
21726,"Ye alag alag kyu baat diye yaar?🥲🥲
"
21727,"1315 kon he
"
21728,"XD
"
21729,"1398 kon he
"
21730,"😭😭
"
21731,"XD
"
21732,"Wahi na ...jab sir bole the sab ko join krne
"
21733,"🌝🌝🌝
"
21734,"Tu hi h bhadwe😂
"
21735,"@918340398051 🙂
"
21736,"Mera earphone kharab hai🙂
"
21737,"Bhai latrine nikal jayegi meri
"
21738,"😂😂
"
21739,"lagta hai sir asli ka viva lenge😭
"
21740,"<Media omitted>
"
21741,"😂😂
"
21742,"Koi chutiya h🙂
"
21743,"🥺🥺🥺
"
21744,"🤣🤣
"
21745,"Yeh division wala baat mujhe kyu nhi sunayi diya🙂
"
21746,"Abe mera second last mara na jaye🥲🥲
"
21747,"Bhai message Kiya hai
"
21748,"Chat pe h chutiye🙂
"
21749,"Kyunki likha hua suani nahi deta
"
21750,"kyunki chat pe likha hai.
"
21751,"😂😂😂😂
"
21752,"sir sach m viva lenge ab...acha kattee humara 🥲
"
21753,"🤣🤣🤣
"
21754,"all the bestttt
"
21755,"All the best guys🥲
"
21756,"tumhe v all the best group m ans bata dena bs🥲
"
21757,"answer batana group pe sab
"
21758,"Bhai tumlog sabka ho jaye toh meko sab questions bta dena 🌚🌚
"
21759,"@918963969526 bhai kuch karo pls humlog jawani mein maarna nahi chahte😭
"
21760,"Sir ne to party badal di 🥲🥲
Pehle bole the, sirf roll no likh dena
"
21761,"meet bana sakte h kya usme bata dege ez rahega
"
21762,"Bata dena guys please 🥲🥲
"
21763,"+1
"
21764,"yes someone send link
"
21765,"+1
"
21766,"+1
"
21767,"🥹🥹🥹🥹
"
21768,"Rhna mere samay🥲
"
21769,"Mere samay rhna🥲
"
21770,"Main kahan se?🥲
"
21771,"Ye qstns kyu puchrhe🥲
"
21772,"Mai travel kar rha hu 🙂zyada stress k karan bus se jump na maar du
"
21773,"Viva
"
21774,"What the fuck🥲
"
21775,"🥲🥲🥲🥲
"
21776,"Puchna shuru kar diye?
"
21777,"Mar gae🤦🏻‍♂️
"
21778,"kya chal raha hai class mein abhi ? maine leave kar diya.
"
21779,"Abe iska koi meet banye kya
"
21780,"Haa bhai🥲🥲
"
21781,"🙄🙄
"
21782,"Bhago
"
21783,"Yaar ye toh ek dum question puchne lage🥲🥲🥲
"
21784,"Kya puche bta na
"
21785,"+1
"
21786,"Mujhe nhi dena
"
21787,"Ufffff 😢
"
21788,"🌝🌝ye kya sab bol rhe h sir
"
21789,"Puche ayush se konsa sabse acha laga exp
Khatam ho gya🥲
"
21790,"Iska
"
21791,"Phat rhi bc ab meri
"
21792,"Aab sir aankh band krke ke marks dnege
"
21793,"Kya bol rahe hai?
"
21794,"Answer bataden bhai
"
21795,"https://meet.google.com/iam-houa-qko
"
21796,"oh shittt.
"
21797,"Abe meeting leave mat krna yaar tumlog 🥲🥲
"
21798,"Join Krna h kya
"
21799,"Yesss aur group m spam ni ans batana hai🥲
"
21800,"Aayega to pakak🥲
"
21801,"<Media omitted>
"
21802,"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂💀
"
21803,"<Media omitted>
"
21804,"Darr se Ulta hi bol diye
"
21805,"Are isme Rona kyu hai🥹🥺
"
21806,"Kyuki second last h mera🥺
"
21807,"Kya bola
"
21808,"Kya kya puch rhe👺
"
21809,"*🥲
"
21810,"F🫠
"
21811,"Poissons ratio ka formular
"
21812,"Bs aise hi qstns puche
"
21813,"Konsa khana bhut psnd h
"
21814,"Apna apna experiment select Kar lo
"
21815,"bolte raho kya chal raha hai.
"
21816,"Bhai idhar viva bhi chal raha hai lekin gajab majak masti ma mahaul banaye hue hai😂😂
"
21817,"Ka*
"
21818,"Tereko tou ans malum h isleyyy🥲
"
21819,"Are gajab bakchodi ho rha h🤣🤣🤣
"
21820,"Ek experiment choose krne bol rahe usme se ek question puch rahe
"
21821,"Kanchan se kya ques pucge?🙂
"
21822,"Bhai chinta mat Karo ...nhi bolega na to bhi marks de denge sir
"
21823,"Bhaiyooo ekdm chinta nahi karo....bas apna jo experiment hai usse ek basic sawal puchenhe
"
21824,"abee kya kree ans kese pta chalega
"
21825,"Ek ek experiment pakad me padh lo
"
21826,"Bas formality ke liye puch  the hain
"
21827,"Confuse kyu ho gya tha?
"
21828,"Ab Bhai Kya karun ho jata hoon
"
21829,"okkk
"
21830,"Chalo koi na
"
21831,"bhai help krdeee please🙃
"
21832,"Are Bhai chinta mat Kar ...bas cheating karne ka koshish mat karna
"
21833,"basic bhi nahi aata kya bolu 🥲
"
21834,"Bas formality ke liye puch rhe Hain ..sabko full de denge sir
"
21835,"@919122791429 kahan se chapa?🤣🤣
"
21836,"Mein Avi manga thanks meeting shuru hone se pehle
"
21837,"Bhii kon devta tha jisne thore der phle hi behja tha
"
21838,"Acha acha
"
21839,"Rishav bheja tha
"
21840,"Haan han bhii bhot bhot dhyanwad🙇🏻‍♂️🙇🏻‍♂️😉
"
21841,"Mast phn se join kiye🤣🤣
"
21842,"Bhii tere Charno me main hu 😉🙇🏻‍♂️🌝
"
21843,"Nhi yr sach me us din main group pe v pucha tha wo camera ke prblm ke bare me ...solve nhi hua h
"
21844,"konsa experiment tune bola tha?
"
21845,"<Media omitted>
"
21846,"Acha acha 🫂🫂
"
21847,"sabse easy exp knsa hev
"
21848,"Bola to Newton's Ring tha pr sayad sir sune nhi to khud hi puche
"
21849,"??
"
21850,"🙃🙃
"
21851,"_Hecker salla_
"
21852,"Video on nhi karna padh rha na🙂??
"
21853,"Meet me kya chal raha btao bhai kaise questions
"
21854,"@919653248340 bhanja ban gya🤣🤣
"
21855,"Karna pad raha hai
"
21856,"Karna hai bhai🥲🥲
"
21857,"<Media omitted>
"
21858,"Bht basic hi puch rhe Hain Avi tak
"
21859,"Krna h on🙂
"
21860,"Bhii ek baat batau raaz ki maine camera quality khud hi low kara tha  phn ka....🤣🤣🤣
"
21861,"Koi bhi ek exp accha se padh lo
"
21862,"Taki Teri Nazar na dikhe ...isiliye na
"
21863,"Aree kya gajab idea h🤣🤣
"
21864,"Camera on ho rha hai??
"
21865,"yes
"
21866,"@917978318146 nice😂
"
21867,"🌝🌝
"
21868,"sir gappe kyu maarhe
Viva leke khtm kahe ni krte
"
21869,"Areee badiya🤣🤣🤣
"
21870,"😶
"
21871,"Bhii Vaseline haar jagah kaam aa jati h ....🌝🌝😉
"
21872,"Notes manga wa na
"
21873,"Tumne camera pe Vaseline lagaya tha???
"
21874,"Ooooo🌚🌚
"
21875,"Ab sbse least count hi puch rahe
"
21876,"Bhai lare lc likho yaha
"
21877,"Sare instruments
"
21878,"Ka
"
21879,"Are maja lo na yaar tum bhi
"
21880,"Camera on karke puuch rahe kya ??
"
21881,"Bhai Avi meeting shuru hone se pehle rishav bheja tha na
"
21882,"Haann
"
21883,"accha hai na yr seriously nhi le rhe
"
21884,":(
"
21885,"Roll number vise ki random?
"
21886,"Roll vise
"
21887,"Roll no. Wise
"
21888,"Roll no
"
21889,"Kitna tak pahucha he
"
21890,"Questions batao guyssss
"
21891,"236
"
21892,"😉😉becoz mera phn kuch jyda hi clear dikha rha tha
"
21893,"Thuk deta camera pe
"
21894,"tumhara roll?
"
21895,"Chutiya😬😬
"
21896,"346
"
21897,"meet me kya karrahii ho?
"
21898,"Question sunrahi
"
21899,"Questions baato guysss
"
21900,"😬😬
"
21901,"🍑🍑
"
21902,"Ye Kya hai ?
"
21903,"Peach fruit
"
21904,"Meeting me jo 10 jan extra hai mere samay rhna🙂
"
21905,"me hun🙃
"
21906,"@916207153552 muh kyu latka hua h?🙂
"
21907,"terko help krdunga
"
21908,"🙂🙂
"
21909,"Saprit ka servicing ho gya 😂
"
21910,"acha hua muh bola aur kuch nahi
"
21911,"+1
"
21912,"🤣🤣🤣
"
21913,"🙃🙃
"
21914,"20 holes hota hai na ?
"
21915,"Kitne ched hote h?🙂
"
21916,"kitne bade hote he🙃
"
21917,"??
"
21918,"Kisme?
"
21919,"Viva pe dhyan do bro🙂
"
21920,"Bar pendulum mein ?
"
21921,"19 ig
"
21922,"4 if
"
21923,"Hole suna sirf maine🙂
"
21924,"bar pendulam bol rha hun🙃
"
21925,"ganda aadmi
"
21926,"Haaa haaa 🙂🙂
"
21927,"Hn 19 hai shayad
"
21928,"This message was deleted
"
21929,"Merse jaada apne pe dhyan do fayda hoga
"
21930,"Mazak Kar ra tha bhai
"
21931,"Sir question repeat kar rahe hai kya
"
21932,"Jab tak sahi answer nhi mil rhe tabtak shyd
"
21933,"Konsa roll chal raha??
"
21934,"278
"
21935,"Nhiii 1 question sirf chahe shi do ya galat
"
21936,"278
"
21937,"19 hai...cog 10th hole 9 uske upar aur 9 uske niche
"
21938,"@917488918881 konsa sub logo?🙂🌚
"
21939,"ab isko kya bole ki nit nikla nhi isliye yahan liye hai😂😂
"
21940,"🤣🤣🤣🤣 areeeee
"
21941,"Bbai tum Bina nit nikale ...nit campus mein re rhe ho !
"
21942,"Aur kuch aaj submission hai kya assignment wagera?
"
21943,"@918368130837 bruh same pinch
"
21944,"college life bhi enjoy kar rhe hai yahan bohot friends hai🤣
"
21945,"Gajab life jee rhe ho yaar
"
21946,"Kyun kya hua bro😭
"
21947,"aao milo bhai tum bhi to jsr mein hi ho na?
"
21948,"Tu royal lagoon main rehta h?🫠
"
21949,"Navy nah?
"
21950,"Hn to Bhai campus mein ghusne dega mereko ?
"
21951,"Tujhe peheli bhi bola tha
"
21952,"Haan bro
"
21953,"haan dega no problem
"
21954,"Me too bruh
"
21955,"TU hi hai nah dream?
"
21956,"Daar gaya aur answer nahi bola 😭
"
21957,"Tu raghunathpur bola tha bc🥲
"
21958,"Haan bro
"
21959,"Royal lagoon jagah h?🙂
"
21960,"Waah jaake purana chat dekho
"
21961,"Apartment ka naam
"
21962,"Haan ek city hai😂
"
21963,"bola tha kya?🥲
"
21964,"cocktail ka naam lag rha🙂
"
21965,"Ek ek apartment ka naam yaad h?🙂
"
21966,"Haa haa kahe nhi🤣🤣
"
21967,"Total 3 hi hai yaha😂
"
21968,"Haan 💀
"
21969,"Abey wahan soam Jena rehta🫠
"
21970,"Vlog m feature krne bol usse🥲😂
"
21971,"Kya royal lagoon?
"
21972,"Bhai mujhe photoelectric effect pata tha 🥺 Daar gaya sir se aur answer bhul gaya😭
"
21973,"<Media omitted>
"
21974,"Kon hai wo🙂
"
21975,"Kaunsa roll number chal raha hai
"
21976,"281
"
21977,"Bhai society
"
21978,"To royal lagoon bahut bafa apartment h jo usko pata h?
"
21979,"Hota hai ....
"
21980,"Search kr
"
21981,"Pata usse puch woh bataegi
"
21982,"Aaj quiz kuch hai kya?
"
21983,"No
"
21984,"Kk
"
21985,"Ok samjha shayad mene dekha hai usse ya uski gaadi ko niche
"
